#IRI                                               ,                                                           sha256
http://sweetontology.net/phenCycle                 , c08eb211efdf3e59436274faa4f1c4ab2a92e5009a41320e123ade576d6266e1
http://sweetontology.net/phenCycleMaterial         , ea1d53b946537902c9b67be371756b3a68b6484e260cc28ae337b9c8db143fbc
http://sweetontology.net/phenEcology               , 0fdd479e8b35ca2a72c26a0661fb50ec64abe3ba1432aaa2c4d94dc1f940fa25
http://sweetontology.net/phenElecMag               , f784ec5bb59fc025c80fe3f3f7710af501dff4654fb027fd842d3c87fdcdc1d0
http://sweetontology.net/phenEnergy                , 017a04696c67d6ec2123d707eb926a98f81c1a0cfc6a7da01ba4a10dc754836e
http://sweetontology.net/phenEnvirImpact           , 08fc6f36b67a8ae0dfd8d891f8f74f137355106af0b9f8f961e97cb57f5b93e5
http://sweetontology.net/phenFluidDynamics         , a51eea593d6660ef048406644eadcb5d0bb9ac74f316653542278745fa096b03
http://sweetontology.net/phenFluidInstability      , b626fd078dbb8550b1af7a16a8e7ad2d9697ff37cffbe1ef5e5e0d32a8a647d1
http://sweetontology.net/phenFluidTransport        , 1c48ecc20c36a9bf9ff3b67bdb13d27b47cd3a46f83d80ff07f31ad02d57569c
http://sweetontology.net/phenGeol                  , 3cff4e7171a3285950471acc0dc6a4d051c85b8fd61ecb67930f97197bfcdac2
http://sweetontology.net/phenGeolFault             , e9a957868254a29b42723484697f03b41ce22eb971a51d13360df8ff98c9ff13
http://sweetontology.net/phenGeolGeomorphology     , 89bd614ec4f9dac8355b69e0cb57da7335d5c9c99e3a84f736368ba2822538d4
http://sweetontology.net/phenGeolSeismicity        , c7f03a3688e5af03b733a1f1ad19e5deca25dbb764540e1d61510264df80c375
http://sweetontology.net/phenGeolTectonic          , 20987302201c1215f56268476bd63869be1849a94bfd15205eb939aba074e536
http://sweetontology.net/phenGeolVolcano           , 79ba6cf61c6848f2d3f966a7e40c3aae8a58178fe335812b3d5459751f6bf335
http://sweetontology.net/phenHelio                 , 717482937aeb486b0f8524077d829629cab4df4323606d111b8d1bc1e2f3047b
http://sweetontology.net/phenHydro                 , 8ad8ee0de764c424699b3f9f27076b6bf06456d1c70fac7337f4338af735d4aa
http://sweetontology.net/phenMixing                , a171923647b2b48c6a2577c132eeb717d7d7f432ba467c4e9ddd3256e65df2be
http://sweetontology.net/phenOcean                 , e2811b4f9280707ea5b08b917671b3303206e6efa8b132bd36efe41d9c20b5d5
http://sweetontology.net/phenOceanCoastal          , 91b4b0bebe4466b7dd33fc4dadc98435bed05bc241fbe3e501dc5202a4cb6347
